timestamp,download_mbps,upload_mbps,ping_ms,jitter_ms,packet_loss_pct,server_id,server_name,server_location,server_country,result_url
2026-05-28T17:01:22.624743,290.41,41.38,27.381,2.706,0,47256,"Surfnet Communications, Inc","San Luis Obispo, CA",United States,https://www.speedtest.net/result/c/72547341-decb-47bb-ac2e-65eb7abd2d49
2026-05-28T17:16:16.051948,919.96,39.79,14.674,1.26,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/bba41b65-a296-4ff6-9b78-777b23c82b55
2026-05-28T17:31:15.531843,926.67,40.38,22.433,1.279,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/2d3c05f4-8054-4d9b-a10d-eb8f076c6e2e
2026-05-28T17:46:23.330026,311.16,41.02,25.542,0.694,0,47256,"Surfnet Communications, Inc","San Luis Obispo, CA",United States,https://www.speedtest.net/result/c/669e3fbc-a968-4aa1-a9dd-1c0907332a2f
2026-05-28T18:01:26.457382,887.85,35.84,22.153,6.219,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/861b2455-912c-48f2-a3eb-68fff1e8d897
2026-05-28T18:16:25.351699,944.84,40.87,30.664,2.282,0,14236,Frontier,"Los Angeles, CA",United States,https://www.speedtest.net/result/c/d0310a65-c660-4569-84f3-3df06c772053
2026-05-28T18:31:13.830016,915.87,41.11,16.817,5.078,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/827704a4-27e1-49e2-9582-0407b6030ab3
2026-05-28T18:46:31.323712,829.63,38.17,23.715,5.067,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/bc919a33-96dd-4d65-9358-a5c487da9def
2026-05-28T19:01:20.729951,855.35,19.55,16.338,2.638,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/448555ba-1f2a-4513-999f-9fc595507512
2026-05-28T19:16:23.233995,803.95,40.85,14.952,1.917,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/2a03d547-4d97-48ba-bf05-31d14a6fc545
2026-05-28T19:31:20.187244,426.53,39.63,25.829,2.956,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/c4bbc146-ca37-449a-bce6-55c567bbfe8f
