timestamp,download_mbps,upload_mbps,ping_ms,jitter_ms,packet_loss_pct,server_id,server_name,server_location,server_country,result_url
2026-05-26T17:25:17.316181,692.51,34.97,21.462,1.397,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/c59177ca-fb8c-494d-88a4-4c16029b1789
2026-05-26T17:26:38.409603,862.09,32.34,31.839,2.684,0,14236,Frontier,"Los Angeles, CA",United States,https://www.speedtest.net/result/c/2900de01-579d-46ec-9c4f-f6ddc6075846
2026-05-26T17:27:11.515835,878.0,40.02,15.256,1.318,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/d3b351d8-79d7-4930-ac48-15f74e3a4ad3
2026-05-26T17:27:43.361987,887.51,38.59,31.813,2.8,,70501,Siteserver,"Moorpark, CA",United States,https://www.speedtest.net/result/c/fc5d3771-21b4-4ea1-91a8-44b879494d1f
2026-05-26T17:31:02.756945,917.02,40.2,22.041,1.522,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/8068d635-b36e-4b32-8d0f-48f81b288917
2026-05-26T17:36:27.323339,921.48,34.61,20.222,6.057,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/38f67863-f1f6-4256-be4c-2da47af197dc
2026-05-26T17:41:42.412797,933.34,41.84,20.827,2.638,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/d80d8844-17ce-4d01-88e3-9b82fdc4161f
2026-05-26T17:47:12.162013,100.21,41.78,19.339,1.408,0,47256,"Surfnet Communications, Inc","San Luis Obispo, CA",United States,https://www.speedtest.net/result/c/887a3f6a-e34b-4a39-9495-2684bea31b1a
2026-05-26T17:52:30.680053,927.72,41.48,17.095,3.36,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/323666e7-e0ca-4302-aaf4-8a3128ba1728
2026-05-26T17:54:32.264622,262.18,42.19,19.22,1.615,0,47256,"Surfnet Communications, Inc","San Luis Obispo, CA",United States,https://www.speedtest.net/result/c/5b20367e-d118-411c-9c42-faa0e92ac4f7
2026-05-26T17:55:20.370026,922.18,42.07,22.951,2.932,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/b8c72121-a101-486d-8248-c69b4c251501
2026-05-26T17:56:10.640894,929.46,41.81,14.496,1.391,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/eeaecd75-a914-4d6a-826f-04eef6f2b678
2026-05-26T17:57:04.694806,229.24,40.45,24.787,0.712,0,47256,"Surfnet Communications, Inc","San Luis Obispo, CA",United States,https://www.speedtest.net/result/c/3e70b405-ab71-430e-b66d-9b2d514506a8
2026-05-26T17:58:04.967695,226.1,14.76,25.788,2.826,0,47256,"Surfnet Communications, Inc","San Luis Obispo, CA",United States,https://www.speedtest.net/result/c/4faeedcc-1378-441e-a81e-be5451892ac8
2026-05-26T17:59:06.867098,291.55,32.5,25.562,3.348,0,47256,"Surfnet Communications, Inc","San Luis Obispo, CA",United States,https://www.speedtest.net/result/c/93b41c97-420f-4227-8d48-dcccc9b5a740
2026-05-26T17:59:56.613356,939.77,40.34,20.206,3.606,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/926fe449-5944-4f11-b0c3-b0beeb486d8c
2026-05-26T18:01:00.320095,939.19,41.54,24.89,1.391,0,2403,Spectrum,"San Luis Obispo, CA",United States,https://www.speedtest.net/result/c/fcce15fb-9b63-4f13-8635-6828bd20d5d2
2026-05-26T18:01:55.745285,912.97,41.29,21.73,3.606,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/34d3a9a3-91e8-45e2-b310-78bc3a10c725
2026-05-26T18:02:49.036292,921.42,41.49,14.311,1.06,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/a3fd311a-506e-4c1c-a3db-7ea39fc2037f
2026-05-26T18:03:40.447787,915.34,38.59,17.371,5.076,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/c228e9f9-381d-493b-926a-825ebd1e53a2
2026-05-26T18:04:38.521140,898.42,24.74,23.807,0.932,,70501,Siteserver,"Moorpark, CA",United States,https://www.speedtest.net/result/c/b9a8f59a-e786-4b96-8c32-b4716b0605fe
2026-05-26T18:05:41.072482,268.58,21.33,21.538,4.524,0,47256,"Surfnet Communications, Inc","San Luis Obispo, CA",United States,https://www.speedtest.net/result/c/d4e1156e-3efb-4b2e-97ce-ab260ca21100
2026-05-26T18:06:32.545599,818.91,23.99,19.53,3.747,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/e2ac58d1-105e-4e99-8074-0f16e5562604
